datetime;GARCH;HAR;RFSV;actuals
2018-12-03;-8.471996044086369;-8.471996044086369;-8.471996044086369;-9.414903924819297
2018-12-04;-8.679469999152248;-8.0635826208594;-8.687973479659679;-8.558350159722067
2018-12-05;-7.696474264094755;-8.323317477244672;-8.960177192833472;-7.834342862550691
2018-12-06;-8.149293460203904;-8.0373191815069;-9.614055819258295;-8.065855600162942
2018-12-07;-8.361729780868027;-7.75595924536908;-9.056488536205473;-8.256106842777436
2018-12-09;-8.08652202979734;-7.684267218434631;-9.448724121673626;-9.331019326065286
2018-12-10;-7.060879122521278;-7.733691219364445;-9.518327381017684;-8.004621285576427
2018-12-11;-7.063896357942981;-7.958568696935693;-9.873757467701585;-8.283209846713822
2018-12-12;-7.53241751025452;-7.5547718650463995;-10.229577890707043;-8.80035549709611
2018-12-13;-7.157134275144141;-7.652827577047354;-9.021702974534444;-8.561658827519805
2018-12-14;-7.654578883086625;-7.819147551269085;-10.165579917923827;-8.882779743660912
2018-12-16;-8.041728575641626;-7.7396442737228295;-9.418191194805141;-11.301288887866397
2018-12-17;-8.480941021938643;-7.84660115755843;-9.4459886786694;-8.45341620019824
2018-12-18;-7.855523773266842;-8.623669889528086;-9.587796861680188;-8.531941382604913
2018-12-19;-7.82031370571468;-7.8880668093305;-9.635168841147003;-7.426111120879259
2018-12-20;-7.077513341818352;-7.846359664460897;-10.10082403034094;-7.4976697805652375
2018-12-21;-7.636700133684965;-7.440015757510006;-9.706230237014106;-7.760351727417391
2018-12-23;-6.661395172223675;-7.3381178522634;-8.896390413338072;-9.698282371003907
2018-12-24;-7.232351784349293;-7.254511997402075;-9.006613444066032;-7.8372329748231415
2018-12-25;-6.66626097642814;-7.779895557403998;-9.730836024221643;-8.60650069524257
2018-12-26;-6.058886513457359;-7.25350937686739;-9.412652762810115;-7.680317540196267
2018-12-27;-6.65429977494768;-7.484052324158199;-9.34980246775293;-7.429424316791897
2018-12-28;-5.436590731072019;-7.188277523335946;-9.640935260233013;-7.8691022230567
2018-12-30;-5.931345098164953;-7.072873495658193;-9.539454966855459;-9.557988623261021
2018-12-31;-6.452573707496662;-7.105910858834113;-9.882584351865338;-8.576685050757145
